id	subject	day	starttime	length	teacher	group	room	period	experiod	inweek	exweek	exclass	realweeks	equipment
2996900	Breakfast/School Yard/JS	Mån	0700	90	MÅ							0	34-40, 42-43, 45-51, 3-7, 9-10, 12-13, 16-24	
2996915	Arbetstid	Mån	0700	480	MÅ							0	34-40, 42-43, 45-51, 3-7, 9-10, 12-13, 16-24	
2996931	Arbetstid	Mån	0700	480	MG							0	34-40, 42-43, 45-51, 3-7, 9-10, 12-13, 16-24	
2996936	Breakfast/School Yard/JS	Mån	0700	90	MG							0	34-40, 42-43, 45-51, 3-7, 9-10, 12-13, 16-24	
3009449	BI	Mån	0700	10	KM	4a				33		1	33	
2997180	Arbetstid	Mån	0730	510	ML							0	34-40, 42-43, 45-51, 3-7, 9-10, 12-13, 16-24	
2998782	Arbetstid	Mån	0730	450	JS							0	34-40, 42-43, 45-51, 3-7, 9-10, 12-13, 16-24	
2997008	Arbetstid	Mån	0745	460	FS							0	34-40, 42-43, 45-51, 3-7, 9-10, 12-13, 16-24	
2998118	Arbetstid	Mån	0745	480	AG							0	34-40, 42-43, 45-51, 3-7, 9-10, 12-13, 16-24	
2996803	Arbetstid	Mån	0800	480	KM							0	34-40, 42-43, 45-51, 3-7, 9-10, 12-13, 16-24	
2996804	Arbetstid	Mån	0800	420	JH							0	34-40, 42-43, 45-51, 3-7, 9-10, 12-13, 16-24	
2996815	Arbetstid	Mån	0800	480	NK							0	34-40, 42-43, 45-51, 3-7, 9-10, 12-13, 16-24	
2996840	Arbetstid	Mån	0800	480	PCG							0	34-40, 42-43, 45-51, 3-7, 9-10, 12-13, 16-24	
2996845	Arbetstid	Mån	0800	420	KS							0	34-40, 42-43, 45-51, 3-7, 9-10, 12-13, 16-24	
2996855	Arbetstid	Mån	0800	450	HO							0	34-40, 42-43, 45-51, 3-7, 9-10, 12-13, 16-24	
2996870	Arbetstid	Mån	0800	420	JW							0	34-40, 42-43, 45-51, 3-7, 9-10, 12-13, 16-24	
2996893	Arbetstid	Mån	0800	405	ZC							0	34-40, 42-43, 45-51, 3-7, 9-10, 12-13, 16-24	
2996953	Arbetstid	Mån	0800	510	TL							0	34-40, 42-43, 45-51, 3-7, 9-10, 12-13, 16-24	
2996975	Arbetstid	Mån	0800	510	GC							0	34-40, 42-43, 45-51, 3-7, 9-10, 12-13, 16-24	
